,airports,cities,countries,airports - cities
4708,Sentani International Airport,Jayapura-Papua Island,ID,Sentani International Airport - Jayapura-Papua Island
4709,Oksibil Airport,Oksibil-Papua Island,ID,Oksibil Airport - Oksibil-Papua Island
4710,Mopah International Airport,Merauke,ID,Mopah International Airport - Merauke
4711,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID,Kalimarau Airport - Tanjung Redeb - Borneo Island
4712,Juwata Airport,Tarakan Island,ID,Juwata Airport - Tarakan Island
4713,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,Aji Pangeran Tumenggung Pranoto International Airport - Samarinda
4714,Naha Airport,Tahuna-Sangihe Island,ID,Naha Airport - Tahuna-Sangihe Island
4715,Sam Ratulangi Airport,Manado,ID,Sam Ratulangi Airport - Manado
4716,Sultan Babullah Airport,Sango-Ternate Island,ID,Sultan Babullah Airport - Sango-Ternate Island
4717,Warukin Airport,Tanta-Tabalong-Borneo Island,ID,Warukin Airport - Tanta-Tabalong-Borneo Island
4718,Karel Sadsuitubun Airport,Langgur,ID,Karel Sadsuitubun Airport - Langgur
4719,Dumatumbun Airport,Langgur-Seram Island,ID,Dumatumbun Airport - Langgur-Seram Island
4720,"Pattimura Airport, Ambon",Ambon,ID,"Pattimura Airport, Ambon - Ambon"
4721,Adisutjipto International Airport,Yogyakarta-Java Island,ID,Adisutjipto International Airport - Yogyakarta-Java Island
4722,Juanda International Airport,Surabaya,ID,Juanda International Airport - Surabaya
4723,Fakfak Airport,Fakfak-Papua Island,ID,Fakfak Airport - Fakfak-Papua Island
4724,Kaimana Airport,Kaimana-Papua Island,ID,Kaimana Airport - Kaimana-Papua Island
4725,Babo Airport,Babo-Papua Island,ID,Babo Airport - Babo-Papua Island
4726,Rendani Airport,Manokwari-Papua Island,ID,Rendani Airport - Manokwari-Papua Island
4727,Wamena Airport,"Wamena, Jayawijaya Regency, Papua Province",ID,"Wamena Airport - Wamena, Jayawijaya Regency, Papua Province"
4728,Matahora Airport,Wangi-wangi Island,ID,Matahora Airport - Wangi-wangi Island
4729,Domine Eduard Osok Airport,Sorong-Papua Island,ID,Domine Eduard Osok Airport - Sorong-Papua Island
4730,Bintulu Airport,Bintulu,MY,Bintulu Airport - Bintulu
4731,Kuching International Airport,Kuching,MY,Kuching International Airport - Kuching
4732,Limbang Airport,Limbang,MY,Limbang Airport - Limbang
4733,Mukah Airport,Mukah,MY,Mukah Airport - Mukah
4734,Marudi Airport,Marudi,MY,Marudi Airport - Marudi
4735,Miri Airport,Miri,MY,Miri Airport - Miri
4736,Sibu Airport,Sibu,MY,Sibu Airport - Sibu
4737,Bario Airport,Bario,MY,Bario Airport - Bario
4738,Lahad Datu Airport,Lahad Datu,MY,Lahad Datu Airport - Lahad Datu
4739,Kota Kinabalu International Airport,Kota Kinabalu,MY,Kota Kinabalu International Airport - Kota Kinabalu
4740,Labuan Airport,Labuan,MY,Labuan Airport - Labuan
4741,Sandakan Airport,Sandakan,MY,Sandakan Airport - Sandakan
4742,Tawau Airport,Tawau,MY,Tawau Airport - Tawau
4743,Mulu Airport,Mulu,MY,Mulu Airport - Mulu
4744,Brunei International Airport,Bandar Seri Begawan,BN,Brunei International Airport - Bandar Seri Begawan
4745,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru-Sumatra Island,ID,Sultan Syarif Kasim Ii (Simpang Tiga) Airport - Pekanbaru-Sumatra Island
4746,Pinang Kampai Airport,Dumai,ID,Pinang Kampai Airport - Dumai
4747,Japura Airport,Rengat-Sumatra Island,ID,Japura Airport - Rengat-Sumatra Island
4748,Kertajati International Airport,Kertajati,ID,Kertajati International Airport - Kertajati
4749,Husein Sastranegara International Airport,Bandung-Java Island,ID,Husein Sastranegara International Airport - Bandung-Java Island
4750,Hang Nadim International Airport,Batam Island,ID,Hang Nadim International Airport - Batam Island
4751,Halim Perdanakusuma International Airport,Jakarta,ID,Halim Perdanakusuma International Airport - Jakarta
4752,Soekarno-Hatta International Airport,Jakarta,ID,Soekarno-Hatta International Airport - Jakarta
4753,Radin Inten II International Airport,Bandar Lampung-Sumatra Island,ID,Radin Inten II International Airport - Bandar Lampung-Sumatra Island
4754,Binaka Airport,Gunungsitoli,ID,Binaka Airport - Gunungsitoli
4755,Aek Godang Airport,Padang Sidempuan,ID,Aek Godang Airport - Padang Sidempuan
4756,Tabing Airport,Padang,ID,Tabing Airport - Padang
4757,Soewondo Air Force Base,Medan,ID,Soewondo Air Force Base - Medan
4758,Kualanamu International Airport,Bandara Kuala Namu,ID,Kualanamu International Airport - Bandara Kuala Namu
4759,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID,Dr. Ferdinand Lumban Tobing Airport - Sibolga (Pinangsori)
4760,Nanga Pinoh Airport,Nanga Pinoh-Borneo Island,ID,Nanga Pinoh Airport - Nanga Pinoh-Borneo Island
4761,Rahadi Osman Airport,Ketapang,ID,Rahadi Osman Airport - Ketapang
4762,Ranai Airport,Ranai-Natuna Besar Island,ID,Ranai Airport - Ranai-Natuna Besar Island
4763,Supadio Airport,Pontianak-Borneo Island,ID,Supadio Airport - Pontianak-Borneo Island
4764,Pangsuma Airport,Putussibau-Borneo Island,ID,Pangsuma Airport - Putussibau-Borneo Island
4765,Sintang(Susilo) Airport,Sintang-Borneo Island,ID,Sintang(Susilo) Airport - Sintang-Borneo Island
4766,Fatmawati Soekarno Airport,Bengkulu,ID,Fatmawati Soekarno Airport - Bengkulu
4767,Sultan Mahmud Badaruddin II Airport,Palembang,ID,Sultan Mahmud Badaruddin II Airport - Palembang
4768,Pendopo Airport,Talang Gudang-Sumatra Island,ID,Pendopo Airport - Talang Gudang-Sumatra Island
4769,Minangkabau International Airport,Padang (Katapiang),ID,Minangkabau International Airport - Padang (Katapiang)
4770,Cut Nyak Dhien Airport,Kuala Pesisir,ID,Cut Nyak Dhien Airport - Kuala Pesisir
4771,Rembele Airport,Takengon,ID,Rembele Airport - Takengon
4772,Lhok Sukon Airport,Lhok Sukon-Sumatra Island,ID,Lhok Sukon Airport - Lhok Sukon-Sumatra Island
4773,Sultan Iskandar Muda International Airport,Banda Aceh,ID,Sultan Iskandar Muda International Airport - Banda Aceh
4774,Kluang Airport,Kluang,MY,Kluang Airport - Kluang
4775,Pulau Tioman Airport,Kampung Tekek,MY,Pulau Tioman Airport - Kampung Tekek
4776,Sultan Abdul Halim Airport,Alor Satar,MY,Sultan Abdul Halim Airport - Alor Satar
4777,RMAF Butterworth Air Base,Butterworth,MY,RMAF Butterworth Air Base - Butterworth
4778,Sultan Ismail Petra Airport,Kota Baharu,MY,Sultan Ismail Petra Airport - Kota Baharu
4779,Kuantan Airport,Kuantan,MY,Kuantan Airport - Kuantan
4780,Kerteh Airport,Kerteh,MY,Kerteh Airport - Kerteh
4781,Sultan Azlan Shah Airport,Ipoh,MY,Sultan Azlan Shah Airport - Ipoh
4782,Senai International Airport,Johor Bahru,MY,Senai International Airport - Johor Bahru
4783,Kuala Lumpur International Airport,Kuala Lumpur,MY,Kuala Lumpur International Airport - Kuala Lumpur
4784,Langkawi International Airport,Langkawi,MY,Langkawi International Airport - Langkawi
4785,Malacca Airport,Malacca,MY,Malacca Airport - Malacca
4786,Sultan Mahmud Airport,Kuala Terengganu,MY,Sultan Mahmud Airport - Kuala Terengganu
4787,Penang International Airport,Penang,MY,Penang International Airport - Penang
4788,Sultan Abdul Aziz Shah International Airport,Subang,MY,Sultan Abdul Aziz Shah International Airport - Subang
4789,Suai Airport,Suai,TL,Suai Airport - Suai
4790,Presidente Nicolau Lobato International Airport,Dili,TL,Presidente Nicolau Lobato International Airport - Dili
4791,Cakung Airport,Baucau,TL,Cakung Airport - Baucau
4792,Rota Do Sândalo Oecusse Airport,Oecussi-Ambeno,TL,Rota Do Sândalo Oecusse Airport - Oecussi-Ambeno
4793,Changi Air Base (East),Singapore,SG,Changi Air Base (East) - Singapore
4794,Sembawang Air Base,Sembawang,SG,Sembawang Air Base - Sembawang
4795,Paya Lebar Air Base,Paya Lebar,SG,Paya Lebar Air Base - Paya Lebar
4796,Tengah Air Base,Western Water Catchment,SG,Tengah Air Base - Western Water Catchment
4797,Seletar Airport,Seletar,SG,Seletar Airport - Seletar
4798,Singapore Changi Airport,Singapore,SG,Singapore Changi Airport - Singapore
4799,Wuzhou Xijiang Airport,Tangbu,CN,Wuzhou Xijiang Airport - Tangbu
4800,KFOR Base Airfield,Camp Bondsteel,XK,KFOR Base Airfield - Camp Bondsteel
4801,Soltsy-2 Air Base,Soltsy,RU,Soltsy-2 Air Base - Soltsy
4802,Severomorsk-3 Naval Air Base,Severomorsk,RU,Severomorsk-3 Naval Air Base - Severomorsk
4803,Fedotovo Naval Air Base,Kipelovo,RU,Fedotovo Naval Air Base - Kipelovo
4804,Lebyazhye Air Base,Kamyshin,RU,Lebyazhye Air Base - Kamyshin
4805,Smolensk North Airport,Smolensk,RU,Smolensk North Airport - Smolensk
4806,Rtishchevo Air Base,Rtishchevo,RU,Rtishchevo Air Base - Rtishchevo
4807,Albany Airport,Albany,AU,Albany Airport - Albany
4808,RAAF Base Amberley,,AU,RAAF Base Amberley - nan
4809,Alpha Airport,Alpha,AU,Alpha Airport - Alpha
4810,Ararat Airport,Ararat,AU,Ararat Airport - Ararat
4811,Armidale Airport,Armidale,AU,Armidale Airport - Armidale
4812,Ayers Rock Connellan Airport,Ayers Rock,AU,Ayers Rock Connellan Airport - Ayers Rock
4813,Barcaldine Airport,Barcaldine,AU,Barcaldine Airport - Barcaldine
4814,Alice Springs Airport,Alice Springs,AU,Alice Springs Airport - Alice Springs
4815,Brisbane International Airport,Brisbane,AU,Brisbane International Airport - Brisbane
4816,Gold Coast Airport,Gold Coast,AU,Gold Coast Airport - Gold Coast
4817,Blackall Airport,Blackall,AU,Blackall Airport - Blackall
4818,Cairns International Airport,Cairns,AU,Cairns International Airport - Cairns
4819,Charleville Airport,Charleville,AU,Charleville Airport - Charleville
4820,Birdsville Airport,,AU,Birdsville Airport - nan
4821,Broken Hill Airport,Broken Hill,AU,Broken Hill Airport - Broken Hill
4822,Hamilton Island Airport,Hamilton Island,AU,Hamilton Island Airport - Hamilton Island
4823,Bedourie Airport,,AU,Bedourie Airport - nan
4824,Bourke Airport,,AU,Bourke Airport - nan
4825,Benalla Airport,,AU,Benalla Airport - nan
4826,Mount Isa Airport,Mount Isa,AU,Mount Isa Airport - Mount Isa
4827,Mackay Airport,Mackay,AU,Mackay Airport - Mackay
4828,Ballina Byron Gateway Airport,Ballina,AU,Ballina Byron Gateway Airport - Ballina
4829,Bairnsdale Airport,,AU,Bairnsdale Airport - nan
4830,Oakey Army Aviation Centre,,AU,Oakey Army Aviation Centre - nan
4831,Boulia Airport,,AU,Boulia Airport - nan
4832,Yibin Wuliangye Airport,Yibin,CN,Yibin Wuliangye Airport - Yibin
4833,Proserpine Whitsunday Coast Airport,Proserpine,AU,Proserpine Whitsunday Coast Airport - Proserpine
4834,Rockhampton Airport,Rockhampton,AU,Rockhampton Airport - Rockhampton
4835,Broome International Airport,Broome,AU,Broome International Airport - Broome
4836,Balranald Airport,,AU,Balranald Airport - nan
4837,Brewarrina Airport,,AU,Brewarrina Airport - nan
4838,Sunshine Coast Airport,Maroochydore,AU,Sunshine Coast Airport - Maroochydore
4839,Bathurst Airport,Bathurst,AU,Bathurst Airport - Bathurst
4840,Bathurst Island Airport,Wurrumiyanga,AU,Bathurst Island Airport - Wurrumiyanga
4841,Townsville Airport / RAAF Base Townsville,Townsville,AU,Townsville Airport / RAAF Base Townsville - Townsville
4842,Blackwater Airport,,AU,Blackwater Airport - nan
4843,Bundaberg Airport,Bundaberg,AU,Bundaberg Airport - Bundaberg
4844,Weipa Airport,Weipa,AU,Weipa Airport - Weipa
4845,Toowoomba Wellcamp Airport,Toowoomba,AU,Toowoomba Wellcamp Airport - Toowoomba
4846,Carnarvon Airport,Carnarvon,AU,Carnarvon Airport - Carnarvon
4847,Cobar Airport,,AU,Cobar Airport - nan
4848,Coonabarabran Airport,,AU,Coonabarabran Airport - nan
4849,Coober Pedy Airport,,AU,Coober Pedy Airport - nan
4850,Chinchilla Airport,,AU,Chinchilla Airport - nan
4851,Cloncurry Airport,Cloncurry,AU,Cloncurry Airport - Cloncurry
4852,Ceduna Airport,,AU,Ceduna Airport - nan
4853,Cleve Airport,,AU,Cleve Airport - nan
4854,Coffs Harbour Airport,Coffs Harbour,AU,Coffs Harbour Airport - Coffs Harbour
4855,RAAF Base Curtin,Derby,AU,RAAF Base Curtin - Derby
4856,Cooktown Airport,,AU,Cooktown Airport - nan
4857,Clermont Airport,,AU,Clermont Airport - nan
4858,Cunnamulla Airport,,AU,Cunnamulla Airport - nan
4859,Coonamble Airport,,AU,Coonamble Airport - nan
4860,Coen Airport,Coen,AU,Coen Airport - Coen
4861,Cooma Snowy Mountains Airport,Cooma,AU,Cooma Snowy Mountains Airport - Cooma
4862,Corowa Airport,,AU,Corowa Airport - nan
4863,Corryong Airport,,AU,Corryong Airport - nan
4864,Cootamundra Airport,,AU,Cootamundra Airport - nan
4865,Cowra Airport,,AU,Cowra Airport - nan
4866,Dirranbandi Airport,,AU,Dirranbandi Airport - nan
4867,Derby Airport,Derby,AU,Derby Airport - Derby
4868,Deniliquin Airport,Deniliquin,AU,Deniliquin Airport - Deniliquin
4869,Devonport Airport,Devonport,AU,Devonport Airport - Devonport
4870,Dysart Airport,,AU,Dysart Airport - nan
4871,Echuca Airport,,AU,Echuca Airport - nan
4872,Elcho Island Airport,Elcho Island,AU,Elcho Island Airport - Elcho Island
4873,Emerald Airport,Emerald,AU,Emerald Airport - Emerald
4874,Esperance Airport,Esperance,AU,Esperance Airport - Esperance
4875,Eliwana,,AU,Eliwana - nan
4876,Forbes Airport,Forbes,AU,Forbes Airport - Forbes
4877,Forrest Airport,,AU,Forrest Airport - nan
4878,Fitzroy Crossing Airport,,AU,Fitzroy Crossing Airport - nan
4879,Gunnedah Airport,,AU,Gunnedah Airport - nan
4880,Geraldton Airport,Geraldton,AU,Geraldton Airport - Geraldton
4881,Grafton Airport,,AU,Grafton Airport - nan
4882,Gladstone Airport,Gladstone,AU,Gladstone Airport - Gladstone
4883,Goulburn Airport,,AU,Goulburn Airport - nan
4884,Glen Innes Airport,,AU,Glen Innes Airport - nan
4885,Garden Point Airport,,AU,Garden Point Airport - nan
4886,Groote Eylandt Airport,Groote Eylandt,AU,Groote Eylandt Airport - Groote Eylandt
4887,Griffith Airport,Griffith,AU,Griffith Airport - Griffith
4888,Hay Airport,,AU,Hay Airport - nan
4889,Hervey Bay Airport,Hervey Bay,AU,Hervey Bay Airport - Hervey Bay
4890,Horn Island Airport,Horn Island,AU,Horn Island Airport - Horn Island
4891,Halls Creek Airport,,AU,Halls Creek Airport - nan
4892,Hamilton Airport,,AU,Hamilton Airport - nan
4893,Mount Hotham Airport,Mount Hotham,AU,Mount Hotham Airport - Mount Hotham
4894,Hopetoun Airport,,AU,Hopetoun Airport - nan
4895,Horsham Airport,,AU,Horsham Airport - nan
4896,Inverell Airport,Inverell,AU,Inverell Airport - Inverell
4897,Kerang Airport,,AU,Kerang Airport - nan
4898,King Island Airport,,AU,King Island Airport - nan
4899,Kempsey Airport,,AU,Kempsey Airport - nan
4900,Kowanyama Airport,Kowanyama,AU,Kowanyama Airport - Kowanyama
4901,Kingaroy Airport,,AU,Kingaroy Airport - nan
4902,Kingscote Airport,,AU,Kingscote Airport - nan
4903,Leigh Creek Airport,,AU,Leigh Creek Airport - nan
4904,Leonora Airport,Leonora,AU,Leonora Airport - Leonora
4905,Lockhart River Airport,Lockhart River,AU,Lockhart River Airport - Lockhart River
4906,Lismore Airport,Lismore,AU,Lismore Airport - Lismore
4907,Lightning Ridge Airport,,AU,Lightning Ridge Airport - nan
4908,Longreach Airport,Longreach,AU,Longreach Airport - Longreach
4909,Leinster Airport,,AU,Leinster Airport - nan
4910,Latrobe Valley Airport,Morwell,AU,Latrobe Valley Airport - Morwell
4911,Avalon Airport,Lara,AU,Avalon Airport - Lara
4912,Albury Airport,Albury,AU,Albury Airport - Albury
4913,Mareeba Airport,,AU,Mareeba Airport - nan
4914,Mudgee Airport,Mudgee,AU,Mudgee Airport - Mudgee
4915,Meekatharra Airport,,AU,Meekatharra Airport - nan
4916,Melbourne Essendon Airport,Essendon Fields,AU,Melbourne Essendon Airport - Essendon Fields
4917,Merimbula Airport,Merimbula,AU,Merimbula Airport - Merimbula
4918,RAAF Base East Sale,,AU,RAAF Base East Sale - nan
4919,Maningrida Airport,Maningrida,AU,Maningrida Airport - Maningrida
4920,Hobart International Airport,Hobart,AU,Hobart International Airport - Hobart
4921,Mildura Airport,Mildura,AU,Mildura Airport - Mildura
4922,Launceston Airport,Launceston,AU,Launceston Airport - Launceston
4923,Melbourne Moorabbin Airport,Melbourne,AU,Melbourne Moorabbin Airport - Melbourne
4924,Melbourne International Airport,Melbourne,AU,Melbourne International Airport - Melbourne
4925,Mount Keith Airport,,AU,Mount Keith Airport - nan
4926,Mount Magnet Airport,,AU,Mount Magnet Airport - nan
4927,Moree Airport,Moree,AU,Moree Airport - Moree
4928,Moranbah Airport,Moranbah,AU,Moranbah Airport - Moranbah
4929,Moruya Airport,Moruya,AU,Moruya Airport - Moruya
4930,Mount Gambier Airport,Mount Gambier,AU,Mount Gambier Airport - Mount Gambier
4931,Narrandera Airport,Narrandera,AU,Narrandera Airport - Narrandera
4932,Narrabri Airport,Narrabri,AU,Narrabri Airport - Narrabri
4933,Ngukurr Airport,,AU,Ngukurr Airport - nan
4934,Narromine Airport,,AU,Narromine Airport - nan
4935,Yantai Penglai International Airport,Yantai,CN,Yantai Penglai International Airport - Yantai
4936,Normanton Airport,Normanton,AU,Normanton Airport - Normanton
4937,Newman Airport,Newman,AU,Newman Airport - Newman
4938,Orange Airport,Orange,AU,Orange Airport - Orange
4939,Adelaide International Airport,Adelaide,AU,Adelaide International Airport - Adelaide
4940,Port Augusta Airport,,AU,Port Augusta Airport - nan
4941,Paraburdoo Airport,Paraburdoo,AU,Paraburdoo Airport - Paraburdoo
4942,Cocos (Keeling) Islands Airport,West Island,CC,Cocos (Keeling) Islands Airport - West Island
4943,Darwin International Airport,Darwin,AU,Darwin International Airport - Darwin
4944,RAAF Base Pearce,Bullsbrook,AU,RAAF Base Pearce - Bullsbrook
4945,RAAF Base Edinburgh,Adelaide,AU,RAAF Base Edinburgh - Adelaide
4946,Gove Airport,Nhulunbuy,AU,Gove Airport - Nhulunbuy
4947,Port Pirie Airport,,AU,Port Pirie Airport - nan
4948,Perth Jandakot Airport,Perth,AU,Perth Jandakot Airport - Perth
4949,Karratha Airport,Karratha,AU,Karratha Airport - Karratha
4950,Kalgoorlie Boulder Airport,Kalgoorlie,AU,Kalgoorlie Boulder Airport - Kalgoorlie
4951,Parkes Airport,Parkes,AU,Parkes Airport - Parkes
4952,Port Keats Airport,Wadeye,AU,Port Keats Airport - Wadeye
4953,East Kimberley Regional (Kununurra) Airport,Kununurra,AU,East Kimberley Regional (Kununurra) Airport - Kununurra
4954,Port Lincoln Airport,Port Lincoln,AU,Port Lincoln Airport - Port Lincoln
4955,Learmonth Airport,Exmouth,AU,Learmonth Airport - Exmouth
4956,Port Macquarie Airport,Port Macquarie,AU,Port Macquarie Airport - Port Macquarie
4957,Portland Airport,,AU,Portland Airport - nan
4958,Port Hedland International Airport,Port Hedland,AU,Port Hedland International Airport - Port Hedland
4959,Perth International Airport,Perth,AU,Perth International Airport - Perth
4960,Tindal Airport,,AU,Tindal Airport - nan
4961,Christmas Island Airport,Flying Fish Cove,CX,Christmas Island Airport - Flying Fish Cove
4962,Quilpie Airport,,AU,Quilpie Airport - nan
4963,Renmark Airport,,AU,Renmark Airport - nan
4964,Roma Airport,Roma,AU,Roma Airport - Roma
4965,Sydney Bankstown Airport,Sydney,AU,Sydney Bankstown Airport - Sydney
4966,Canberra International Airport,Canberra,AU,Canberra International Airport - Canberra
4967,Camden Airport,Cobbitty,AU,Camden Airport - Cobbitty
4968,Dubbo City Regional Airport,Dubbo,AU,Dubbo City Regional Airport - Dubbo
4969,Shark Bay Airport,Denham,AU,Shark Bay Airport - Denham
4970,Shellharbour Airport,Albion Park Rail,AU,Shellharbour Airport - Albion Park Rail
4971,Shepparton Airport,,AU,Shepparton Airport - nan
4972,Smithton Airport,,AU,Smithton Airport - nan
4973,Snake Bay Airport,,AU,Snake Bay Airport - nan
4974,Norfolk Island International Airport,Burnt Pine,NF,Norfolk Island International Airport - Burnt Pine
4975,Naval Air Station Nowra - HMAS Albatross,Nowra Hill,AU,Naval Air Station Nowra - HMAS Albatross - Nowra Hill
4976,RAAF Base Richmond,Richmond,AU,RAAF Base Richmond - Richmond
4977,Sydney Kingsford Smith International Airport,Sydney,AU,Sydney Kingsford Smith International Airport - Sydney
4978,Tamworth Airport,Tamworth,AU,Tamworth Airport - Tamworth
4979,Wagga Wagga City Airport,Wagga Wagga,AU,Wagga Wagga City Airport - Wagga Wagga
4980,Swan Hill Airport,,AU,Swan Hill Airport - nan
4981,Stawell Airport,,AU,Stawell Airport - nan
4982,Telfer Airport,,AU,Telfer Airport - nan
4983,Temora Airport,Temora,AU,Temora Airport - Temora
4984,Thargomindah Airport,,AU,Thargomindah Airport - nan
4985,Tibooburra Airport,,AU,Tibooburra Airport - nan
4986,Tumut Airport,,AU,Tumut Airport - nan
